snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-23T21:48:32+00:00,gate,2026-09-22,2026-09-22T06:00:00+02:00,2026-09-22T07:00:00+02:00,Physical Flow,hour,20149722,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-22T08:43:10+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-22,2026-09-22T07:00:00+02:00,2026-09-22T08:00:00+02:00,Physical Flow,hour,20087222,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-22T10:04:49+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-22,2026-09-22T08:00:00+02:00,2026-09-22T09:00:00+02:00,Physical Flow,hour,20105278,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-22T11:20:09+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-22,2026-09-22T09:00:00+02:00,2026-09-22T10:00:00+02:00,Physical Flow,hour,20085278,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-22T12:27:42+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-22,2026-09-22T10:00:00+02:00,2026-09-22T11:00:00+02:00,Physical Flow,hour,19958611,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-22T13:26:50+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-22,2026-09-22T11:00:00+02:00,2026-09-22T12:00:00+02:00,Physical Flow,hour,20024444,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-22T13:26:50+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-22,2026-09-22T12:00:00+02:00,2026-09-22T13:00:00+02:00,Physical Flow,hour,20031667,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-22T15:00:49+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-22,2026-09-22T13:00:00+02:00,2026-09-22T14:00:00+02:00,Physical Flow,hour,20103056,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-22T15:53:50+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-22,2026-09-22T14:00:00+02:00,2026-09-22T15:00:00+02:00,Physical Flow,hour,20228889,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-22T17:41:09+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-22,2026-09-22T15:00:00+02:00,2026-09-22T16:00:00+02:00,Physical Flow,hour,20433056,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-22T18:18:52+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-22,2026-09-22T16:00:00+02:00,2026-09-22T17:00:00+02:00,Physical Flow,hour,20577500,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-22T18:48:50+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-22,2026-09-22T17:00:00+02:00,2026-09-22T18:00:00+02:00,Physical Flow,hour,20460556,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-22T20:28:09+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-22,2026-09-22T18:00:00+02:00,2026-09-22T19:00:00+02:00,Physical Flow,hour,20378889,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-22T20:28:09+02:00
