snapshot_utc,terminal,metric,maturity,pub_id,gas_day,value,unit,quality,generated_at,detail,item_name
2026-09-01T13:59:43+00:00,grain,send_out,D+1,PUBOBJ605,2026-08-30,0,kWh,L,2026-08-31T12:01:01,"Grain NTS1, physical","System Entry Energy, GrainNTS1, D+1"
2026-09-01T13:59:43+00:00,grain,send_out,D+1,PUBOBJ605,2026-08-31,0,kWh,L,2026-09-01T12:01:01,"Grain NTS1, physical","System Entry Energy, GrainNTS1, D+1"
2026-09-01T13:59:43+00:00,grain,send_out,D+1,PUBOBJ606,2026-08-30,0,kWh,L,2026-08-31T12:01:01,"Grain NTS2, physical","System Entry Energy, GrainNTS2, D+1"
2026-09-01T13:59:43+00:00,grain,send_out,D+1,PUBOBJ606,2026-08-31,0,kWh,L,2026-09-01T12:01:01,"Grain NTS2, physical","System Entry Energy, GrainNTS2, D+1"
2026-09-01T13:59:43+00:00,grain,send_out,D+2,PUBOB370,2026-08-30,0,kWh,,2026-09-01T10:00:00,"Grain NTS1, commercial","System Entry Energy, Grain NTS 1, D+2"
2026-09-01T13:59:43+00:00,grain,send_out,D+2,PUBOB3474,2026-08-30,0,kWh,,2026-09-01T10:00:00,"Grain NTS2, commercial","System Entry Energy, Grain NTS 2, D+2"
2026-09-01T13:59:43+00:00,south_hook,send_out,D+1,PUBOBJ607,2026-08-30,54094446,kWh,L,2026-08-31T12:01:01,physical,"System Entry Energy, SouthHook, D+1"
2026-09-01T13:59:43+00:00,south_hook,send_out,D+1,PUBOBJ607,2026-08-31,56038890,kWh,L,2026-09-01T12:01:01,physical,"System Entry Energy, SouthHook, D+1"
2026-09-01T13:59:43+00:00,south_hook,send_out,D+2,PUBOB3481,2026-08-30,54094446,kWh,,2026-09-01T10:00:00,commercial,"System Entry Energy, South Hook, D+2"
2026-09-01T13:59:43+00:00,dragon,send_out,D+1,PUBOBJ600,2026-08-30,0,kWh,L,2026-08-31T12:01:01,physical,"System Entry Energy, Dragon, D+1"
2026-09-01T13:59:43+00:00,dragon,send_out,D+1,PUBOBJ600,2026-08-31,0,kWh,L,2026-09-01T12:01:01,physical,"System Entry Energy, Dragon, D+1"
2026-09-01T13:59:43+00:00,dragon,send_out,D+2,PUBOB3565,2026-08-30,0,kWh,,2026-09-01T10:00:00,commercial,"System Entry Energy, Milford Haven - Dragon, D+2"
